id;name;pronouns;area;area Label;power Level;color 1;color 2;color Animated?;signup Date;has donated;donated;coin;supporter End Date;boost End Date;is a Game Moderator;is Translator;is Supporter;is Boosted;runs ILs;runs FGs;runs;categories ILs;categories FGs;categories;games ILs;games FGs;games;platforms ILs;platforms FGs;platforms;wrs ILs;wrs FGs;wrs;podiums ILs;podiums FGs;podiums;obsoletes ILs;obsoletes FGs;obsoletes;Games with at least 1 wrs;categoriesMisc;levels
xymrl6zx;maxisspeedrunning;;None;None;1;azure;None;0;1648783039;False;0;0;0;0;False;False;False;False;0;1;1;0;1;1;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
x3514rqj;PMiller180;;None;None;1;fuchsia;fuchsia;0;1590378424;False;0;0;0;0;False;False;False;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18vqzenj;The_Bad_Speedrunner;;None;None;1;silver;silver;0;1554656923;False;0;0;0;0;False;False;False;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7j4mmpmj;Mico;;None;None;1;azure;azure;0;1546482320;False;0;0;0;0;False;False;False;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
xz7r9yrj;223_Essa;He/Him;None;None;1;purple;blue;0;1620464160;False;0;0;0;0;False;False;False;False;0;1;1;0;1;1;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
x350kvqj;Cadoo_;;None;None;1;coral;orange;0;1606875874;False;0;0;0;0;False;False;False;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
e8eykox0;frabsian;;None;None;1;blue;None;0;1426876314;False;0;0;0;0;False;False;False;False;0;2;2;0;1;1;0;1;1;0;1;1;0;0;0;0;0;0;0;1;1;0;0;0
8vo1koyx;Vader346859;He/Him;None;None;1;azure;silver;0;1644367141;False;0;0;0;0;False;False;False;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8167lmpx;Mrcat77;;None;None;1;fuchsia;fuchsia;0;1618853331;False;0;0;0;0;False;False;False;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5j5omknx;ZebraUnicorn;;None;None;1;purple;purple;0;1520041612;False;0;0;0;0;False;False;False;False;0;4;4;0;2;2;0;2;2;0;1;1;0;0;0;0;0;0;0;2;2;0;0;0
86ve01qj;natan297469;;None;None;1;fuchsia;fuchsia;0;1594291672;False;0;0;0;0;False;False;False;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
x3m7wpq8;Phyaz;He/Him;None;None;1;fuchsia;fuchsia;0;1636770882;False;0;0;0;0;False;False;False;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
x35v2w6j;brendito;;None;None;1;silver;silver;0;1595906786;False;0;0;0;0;False;False;False;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jpr4oo08;FilipeCampos;;None;None;1;mint;mint;0;1579752834;False;0;0;0;0;False;False;False;False;2;3;5;1;2;3;1;2;3;1;2;3;0;0;0;0;0;0;1;1;2;0;0;1
j0vg5zmx;Rotten_Toto;;None;None;1;silver;silver;0;1627388165;False;0;0;0;0;False;False;False;False;1;5;6;1;1;2;1;1;2;1;1;2;1;1;2;1;3;4;0;2;2;1;0;1
kjp4d72j;neutralend;;None;None;1;mint;mint;0;1467549909;False;0;0;0;0;False;False;False;False;5;0;5;3;0;3;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1
j5191nz8;jltds;He/Him;None;None;1;green;yellow;0;1610937659;False;0;0;0;0;False;False;False;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jo37g37j;nguathaiohatinh;;None;None;1;lavender;lavender;0;1597337936;False;0;0;0;0;False;False;False;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jnz5k64j;TheVitaliy;;None;None;1;lavender;lavender;0;1613244221;False;0;0;0;0;False;False;False;False;12;10;22;3;6;9;1;2;3;1;1;2;2;3;5;7;4;11;2;0;2;2;1;7
j95r7eo8;Babioche;;None;None;1;azure;None;0;1650226275;False;0;0;0;0;False;False;False;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8e9nyvpj;8alicee7285hB1;;None;None;0;silver;silver;0;1580540283;False;0;0;0;0;False;False;False;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
j4q650lx;Joecompany;He/Him;None;None;1;fuchsia;azure;0;1629099262;False;0;0;0;0;False;False;False;False;0;5;5;0;1;1;0;1;1;0;1;1;0;0;0;0;0;0;0;3;3;0;0;0
qxk1v47j;Madelineguv;;None;None;1;orange;orange;0;1490256896;False;0;0;0;0;False;False;False;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8w1v7w4x;OctolingTheSpeedy;He/Him;None;None;1;azure;azure;0;1641092706;False;0;0;0;0;False;False;False;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
pj0gkprx;CactusEverdeen;;None;None;1;green;green;0;1484617151;False;0;0;0;0;False;False;False;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
v81no5pj;RentalRemy;;None;None;1;azure;azure;0;1569246794;False;0;0;0;0;False;False;False;False;0;1;1;0;1;1;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
qxk62498;raimondio;;None;None;1;red;red;0;1499964393;False;0;0;0;0;False;False;False;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
j4vqrlwj;mtlevel;;None;None;1;white;None;0;1649765502;False;0;0;0;0;False;False;False;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8eng4o28;vipnewsonline;;None;None;1;pink;lightpink;0;1613702703;False;0;0;0;0;False;False;False;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
x3qr73ej;JustQuinten;He/Him;None;None;1;silver;white;0;1613034590;False;0;2;0;0;False;False;False;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8v66712x;timcookblog;;None;None;1;green;None;0;1651140719;False;0;0;0;0;False;False;False;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
