name;Platforms;URL;Categories
Borderlands 2 Category Extensions;"PlayStation 3; Xbox 360; PlayStation Vita; PlayStation 4; Xbox One; PC; Switch; PlayStation 5; Xbox Series X";https://www.speedrun.com/bl2ce;1-OP8
Borderlands 3;"PlayStation 4; Xbox One; PC; Google Stadia; PlayStation 5; Xbox Series X";https://www.speedrun.com/bl3;"Any% Co-Op; 100%; Geared Co-Op; Geared All Quests"
Borderlands: Game of the Year Enhanced;"PlayStation 4; Xbox One; PC";https://www.speedrun.com/blgoty;Co-Op
Borderlands: The Pre-Sequel;"PlayStation 3; Xbox 360; PlayStation 4; Xbox One; PC; PlayStation 5; Xbox Series X";https://www.speedrun.com/tps;"All Quests; Co-Op"
Boring Man - Online Tactical Stickman Combat;PC;https://www.speedrun.com/bm_otsc;"Survival Wave 100  (v1.2.7.7); Survival Wave 10 (v1.2.7.7)"
Boss Bashing Button Brawlers;PC;https://www.speedrun.com/boss_bashing_button_brawlers;"Any% [2P]; Any% [3P]; Any% [4P]"
BOXBOY! + BOXGIRL!;Switch;https://www.speedrun.com/boxboy_boxgirl;"A Tale for Two; A Tale for Two; Demo - ATF2"
Brawl Minus;Wii;https://www.speedrun.com/brawl_minus;"Subspace Emissary Any%; Boss Battles; All-Star"
Brawl Stars;"Android; iOS";https://www.speedrun.com/brawl_stars;"Colt%; Bull%; Jessie%; Brock%; Dynamike%; Bo%; Tick%; 8bit%; Emz%; 50 trophies; 100 trophies; Stu%; Duo Showdown; Duo Survival"
Brawl Stars Category Extensions;"Android; iOS";https://www.speedrun.com/bsce;"Nita%; Match victory; Bounty; Showdown% (Bots); Survival% (Bots); Boss Fight; Robo Rumble; City rampage; [Obsolete] Robo Rumble; Brawler To 500 Trophies (Pending Category)"
Brawlhalla;"PlayStation 4; Xbox One; PC; Android; iOS; Macintosh; Switch";https://www.speedrun.com/brawlhalla;"Horde Mode; Walker Attack"
Breakout!;PC;https://www.speedrun.com/breakout_;Full game (7 players)
Breath of The Wild Category Extensions;"Wii U; Switch";https://www.speedrun.com/botw-extension;"""Any% - Two Players,  One Controller"""
Bridge Base Online;Web;https://www.speedrun.com/bridge_base_online;Speedball
Brink;"PlayStation 3; Xbox 360; PC";https://www.speedrun.com/brink;"Any% Security Co-op; Any% Resistance Co-op; All Missions; Any% Coop IL"
Broforce;"PlayStation 4; PC; Macintosh; Linux; Switch";https://www.speedrun.com/broforce;"Arcade Mode Co-op; Campaign Mode Co-op"
Brothers: A Tale of Two Sons;"PlayStation 3; Xbox 360; PC; Android; iOS; Switch";https://www.speedrun.com/brothers;2 Players 1 Controller Any%
Brutal Doom;PC;https://www.speedrun.com/brutal_doom;Ultimate Doom coop any% (Wussy)
Brutal Mario World;Super Nintendo;https://www.speedrun.com/super_kitiku_mario;"Any% (Co-Op); SKM: Luigi’s World"
Bubble Bobble (NES);"Nintendo Entertainment System; Wii Virtual Console; NES Classic Mini";https://www.speedrun.com/bubblebobble;"Any% (2 Player); Happy End (2 Player)"
Bubble Bobble 4 Friends: The Baron's Workshop;"PC; Switch";https://www.speedrun.com/bubble_bobble_4_friends_the_barons_workshop;"Normal mode (Multi); Hard mode (Multi); Future arcade (Multi); New game (Multi)"
Bubble Struggle;PC;https://www.speedrun.com/bubble_trouble;Bubble Struggle 1: Full Game/2-Player
Bubble Symphony;"Sega Saturn; Arcade; PlayStation 2; Xbox; PC";https://www.speedrun.com/bubble_symphony;"Any% Coop; Extra world Coop; True ending Coop"
Bud Spencer & Terence Hill - Slaps And Beans;"PlayStation 4; Xbox One; PC; Switch";https://www.speedrun.com/slaps_and_beans;Any% Coop
Bugs Bunny & Taz: Time Busters;"PlayStation 2; PlayStation; PlayStation 3; PC";https://www.speedrun.com/bbttb;"Any%; All Boss Tokens; 100%"
Bullethead;Web;https://www.speedrun.com/bullethead;Any% (2 player)
Burning Fight;Arcade;https://www.speedrun.com/burningfight;Any% Co-Op
Burnout Paradise;"PlayStation 3; Xbox 360; PC";https://www.speedrun.com/bparadise;Big Surf Island Online%
Burnout Paradise Remastered;"PlayStation 4; Xbox One; PC; Switch";https://www.speedrun.com/bpr;Big Surf Island Online%
