name;platforms;url;categories FG;levels;categories IL;total
3D Ultra Pinball: Creep Night;PC;https://www.speedrun.com/3d_ultra_pinball_creep_night;12;0;0; 
3D Ultra Pinball: The Lost Continent;PC;https://www.speedrun.com/3d_ultra_pinball_the_lost_continent;15;0;0; 
3D Ultra Pinball: Thrillride;PC;https://www.speedrun.com/3d_ultra_pinball_thrillride;4;0;0; 
3D Viper Rush;Android;https://www.speedrun.com/3d_viper_rush;1;0;0; 
3D Zelda Games;;https://www.speedrun.com/3dzelda;6;0;0; 
3D Zelda Relay;;https://www.speedrun.com/3d_zelda_relay;2;0;0; 
3D Zombie Hell 2;;https://www.speedrun.com/3d_zombie_hell_2;2;0;0; 
3DCube;MS-DOS;https://www.speedrun.com/3dcube;2;0;0; 
3DTris;PC;https://www.speedrun.com/3dtris;6;0;0; 
3rd eye;PC;https://www.speedrun.com/3rd_eye;3;0;0; 
3rd World Farmer;PC, Android, Web, Macintosh, Linux;https://www.speedrun.com/3rd_world_farmer;12;0;0; 
3Xtreme;PlayStation;https://www.speedrun.com/3xtreme;2;0;0; 
4 Months of You;PC;https://www.speedrun.com/4_months_of_you;1;0;0; 
4 PAK All Action;Sega Master System;https://www.speedrun.com/4_pak_all_action;1;0;0; 
4 YUMPs For Yoshi;Super Nintendo;https://www.speedrun.com/4_yumps_for_yoshi;4;0;0; 
4-in-1 Fun Pak;Game Boy;https://www.speedrun.com/4-in-1_fun_pak;19;0;0; 
4-in-1 Funpak: Volume II;Game Boy;https://www.speedrun.com/4-in-1_funpak_volume_ii;4;0;0; 
40 Winks;PlayStation 2, PlayStation, PlayStation 3;https://www.speedrun.com/40winks;3;18;36; 
400 Years;PC;https://www.speedrun.com/400_years;1;0;0; 
404Sight;PC;https://www.speedrun.com/404sight;2;0;0; 
40xEscape;Web;https://www.speedrun.com/40xescape;1;0;0; 
44 Minutes in Nightmare;PC;https://www.speedrun.com/44_minutes_in_nightmare;20;0;0; 
44th Anniversary of the Birth of Hip Hop;Android, iOS, Web;https://www.speedrun.com/44th_anniversary_of_the_birth_of_hip_hop;2;0;0; 
46 Okunen Monogatari: The Shinkaron;NEC PC-98 series;https://www.speedrun.com/46_omts_evo;4;0;0; 
